ID;nom;adresse;commune;etat;type;geo;nbVelosDispo;nbPlacesDispo;etatConnexion;datemiseajour;localisation
69;CHASSEURS DE DRIANT;11 AVENUE VERHAEREN;LILLE;EN SERVICE;SANS TPE;50.61893,3.032539;8;14;CONNECTED;2021-02-17T17:06:54+01:00;50.61893,3.032539
59;BELFORT;84 RUE DE TREVISE;LILLE;HORS SERVICE;AVEC TPE;50.622223,3.077127;0;1;DISCONNECTED;2019-08-30T05:05:05+02:00;50.622223,3.077127
226;CHARLES DE GAULLE;72, RUE DE LILLE;ROUBAIX;EN SERVICE;AVEC TPE;50.68645,3.170006;8;8;CONNECTED;2021-02-17T17:06:55+01:00;50.68645,3.170006
73;ST MAURICE PELLEVOISIN;211 RUE DU FAUBOURG DE ROUBAIX;LILLE;EN SERVICE;AVEC TPE;50.642315,3.087979;5;19;CONNECTED;2021-02-17T17:06:54+01:00;50.642315,3.087979
170;GANTOIS;104-122 Bld VICTOR HUGO;LILLE;EN SERVICE;AVEC TPE;50.62184,3.060494;5;7;CONNECTED;2021-02-17T17:06:55+01:00;50.62184,3.060494
212;DANIELLE LESAFFRE;42, RUE DUPUY DE LOMÉ;ROUBAIX;EN SERVICE;SANS TPE;50.682053,3.182205;7;11;CONNECTED;2021-02-17T17:06:55+01:00;50.682053,3.182205
206;ALFRED MONGY;15, BOULEVARD DU GÉNÉRAL DE GAULLE;ROUBAIX;EN SERVICE;SANS TPE;50.688015,3.174815;11;13;CONNECTED;2021-02-17T17:06:55+01:00;50.688015,3.174815
67;MONTEBELLO;122 BOULEVARD MONTEBELLO;LILLE;EN SERVICE;AVEC TPE;50.621952,3.04534;12;12;CONNECTED;2021-02-17T17:06:54+01:00;50.621952,3.04534
234;ALSACE;89, BOULEVARD D'ARMENTIÈRES;ROUBAIX;EN SERVICE;AVEC TPE;50.7004,3.161378;7;9;CONNECTED;2021-02-17T17:06:55+01:00;50.7004,3.161378
132;CENTRE COMMERCIAL V2;BOULEVARD VALMY;VILLENEUVE D'ASCQ;EN SERVICE;AVEC TPE;50.61606,3.132006;9;10;CONNECTED;2021-02-17T17:06:54+01:00;50.61606,3.132006
237;RUE DES ANGES;FACE AU 42 RUE DES ANGES;TOURCOING;EN SERVICE;SANS TPE;50.719803,3.156338;6;6;CONNECTED;2021-02-17T17:06:55+01:00;50.719803,3.156338
201;EDHEC;272, RUE VERTE;CROIX;EN SERVICE;SANS TPE;50.673943,3.163443;15;15;CONNECTED;2021-02-17T17:06:55+01:00;50.673943,3.163443
238;THEATRE TOURCOING;1, RUE DE L'ALMA;TOURCOING;EN SERVICE;AVEC TPE;50.72075,3.152659;8;9;CONNECTED;2021-02-17T17:06:55+01:00;50.72075,3.152659
220;MUSEE ART ET INDUSTRIE;105, AVENUE JEAN-BAPTISTE LEBAS;ROUBAIX;EN SERVICE;AVEC TPE;50.693768,3.167666;5;9;CONNECTED;2021-02-17T17:06:55+01:00;50.693768,3.167666
249;RUE DE MENIN;FACE AU 40 RUE JOURDAN;TOURCOING;EN SERVICE;SANS TPE;50.728798,3.154051;6;6;CONNECTED;2021-02-17T17:06:55+01:00;50.728798,3.154051
242;TOURCOING GARE;PLACE PIERRE SEMARD;TOURCOING;EN SERVICE;AVEC TPE;50.716843,3.167834;9;9;CONNECTED;2021-02-17T17:06:55+01:00;50.716843,3.167834
256;PONT DE NEUVILLE;301, RUE DU PONT DE NEUVILLE;TOURCOING;EN SERVICE;AVEC TPE;50.73696,3.171169;7;9;CONNECTED;2021-02-17T17:06:55+01:00;50.73696,3.171169
